different_phenotype_pair_count,different_phenotype_strong_fraction,median_pair_separation_score,median_relative_separation,numerical_collision_fraction,pair_count,stratum_type,stratum_value,strong_pair_fraction
392,1.0,0.012921192493965637,1.7954017541954417,0.0,534,overall,all,1.0
97,1.0,0.012314984621472467,1.7540252671702894,0.0,178,pair_type,rx_vs_ry,1.0
145,1.0,0.01409359346694526,1.7783532560189084,0.0,178,pair_type,rz_vs_rx,1.0
150,1.0,0.013106409466609946,1.8226346811353773,0.0,178,pair_type,rz_vs_ry,1.0
4,1.0,0.0010398884724159574,0.9999999986661763,0.0,6,family,bell,1.0
16,1.0,0.001871487010659613,0.9999999997328325,0.0,24,family,ghz,1.0
121,1.0,0.016012140002917195,1.7843427069649163,0.0,165,family,hardware_efficient_ansatz,1.0
71,1.0,0.016235458483991,1.9193964015218135,0.0,99,family,phase_interference,1.0
86,1.0,0.009415302091944572,1.7360533361226425,0.0,111,family,qaoa_like,1.0
18,1.0,0.01653744426860286,1.9999999996876763,0.0,18,family,qft_like,1.0
76,1.0,0.012625526932955572,1.9512095948706285,0.0,111,family,random_shallow,1.0
60,1.0,0.015292115316083613,1.8328888749333139,0.0,84,n_qubits,2,1.0
4,1.0,0.004321148223185761,1.8308425964721433,0.0,6,n_qubits,3,1.0
117,1.0,0.01356515502681832,1.8317179972102349,0.0,162,n_qubits,4,1.0
125,1.0,0.011985261874825397,1.7955667083008207,0.0,165,n_qubits,6,1.0
86,1.0,0.011274912337560289,1.7411944982126082,0.0,117,n_qubits,8,1.0
196,1.0,0.008021413450896032,1.8121590682070186,0.0,267,strength_key,0.05,1.0
196,1.0,0.026471215871249166,1.7812138097426504,0.0,267,strength_key,0.15,1.0
20,1.0,0.001871487010659613,0.9999999997328306,0.0,30,phase_sensitive_family,False,1.0
372,1.0,0.014002066357263244,1.8095405649933243,0.0,504,phase_sensitive_family,True,1.0
392,1.0,0.012921192493965637,1.7954017541954417,0.0,534,affected_qubit_signature,0,1.0
392,1.0,0.012921192493965637,1.7954017541954417,0.0,534,insertion_depth_fraction_bin,late_75_100,1.0
